id,title
74,Feminist practice and poststructuralist theory
75,No man's land : the place of the woman writer in the twentieth century
76,"Singapore : the politics of survival, 1965-1967."
77,The associated ship and South African admiralty jurisdiction
78,The arrest conventions : international enforcement of maritime claims
79,The art of the long view
80,Scenarios : the art of strategic conversation
81,Social entrepreneurship : new models of sustainable social change
82,Gower and Davies' principles of modern company law.
83,Mobilizing communities : asset building as a community development strategy
84,"Transforming society : strategies for social development from Singapore, Asia and around the world"
85,Community development arenas in Singapore
86,Collected readings on community development in Singapore
87,Civilization and its discontents
88,China under Mao : a revolution derailed
89,"National identities and foreign policy in the European Union : the Russia policy of Germany, Poland and Finland"
90,"Nation branding : concepts, issues, practice"
91,Black sheep
92,Rice talks : food and community in a Vietnamese town
93,Appetites and aspirations in Vietnam : food and drink in the long nineteenth century
94,Rice and baguette : a history of food in Vietnam
95,Consumption and its consequences
96,Sustainable consumption and the good life : interdisciplinary perspectives
97,"Sustainability, citizenship and cities : theory and practice"
98,Sustainable consumption : key issues
99,Indian art
100,Real birds in imagined gardens : Mughal painting between Persia and Europe
101,Collective action : theory and applications
102,Modern flight dynamics
103,Principles of mathematical analysis.
104,The synergist : how to lead your team to predictable success
105,"Cross-functional teams : working with allies, enemies, and other strangers"
106,"How NASA builds teams : mission critical soft skills for scientists, engineers, and project teams"
107,Flora and fauna in Mughal art
108,"Sonate op. 166, pour hautbois et piano [music]"
109,Advanced tactical fighter to F-22 raptor : origins of the 21st century air dominance fighter
110,Ship motion control : course keeping and roll stabilisation using rudder and fins
111,Fundamentals of airplane flight mechanics
112,Law of bank payments
113,Benjamin's sale of goods
114,"Charles Darwin's shorter publications, 1829-1883"
115,Literature in Malay by the Chinese of Indonesia : a provisional annotated bibliography
116,Tan Jiak Kim (1859-1917) : Straits Chinese leader.
117,The art of Mughal India : painting & precious objects
118,"Interpreting Mughal painting : essays on art, society, and culture"
119,Every twelve seconds : industrialized slaughter and the politics of sight
120,InterViews : learning the craft of qualitative research interviewing
121,Constitutions in authoritarian regimes
122,"Digital revolution : new challenges for law : data protection, artificial intelligence, smart products, blockchain technology and virtual currencies"
123,The law of artificial intelligence and smart machines : understanding A.I. and the legal impact
124,Database management systems
125,Fundamentals of database systems
126,Designing the user interface
127,Interaction design : beyond human-computer interaction
128,"Ways with words : language, life, and work in communities and classrooms"
129,"Line, edge & shade : the search for a design language in tropical Asia : Tay Kheng Soon & Akitek Tenggara"
130,Nationalism and architecture
131,"Southeast Asia's modern architecture : questions of translation, epistemology and power"
132,Sendai mediatheque
133,Mega-cities in the tropics : towards an architectural agenda for the future
134,Toyo Itō
135,The anthropology of religion : an introduction
136,Defeat into victory.
137,Women and the politics of representation in Southeast Asia : engendering discourse in Singapore and Malaysia
138,Klavierquartett Es-dur Opus 47 [music] = Piano quartet in E♭ major op. 47
139,"Études-tableaux [music] : for piano solo, op. 33"
140,"Sonate für Violine und Klavier, A-dur [music] = Sonata for violin and piano, A major = Sonate pour violon et piano, la majeur"
141,Cell biology
142,Introduction to linear regression analysis
143,权力结构与文化认同 : 唐宋之际的文武关系(875-1063)
144,Kashmir : a study in India- Pakistan relations.
145,The United Nations system : toward international justice
146,The United Nations : international organization and world politics
147,"Jammu and Kashmir, the Cold War and the West"
148,No enchanted palace : the end of empire and the ideological origins of the United Nations
149,Governing the world : the history of an idea
150,The United Nations : history and core ideas
151,The law of torts in Singapore
152,"中华民国史档案資料汇编. 第五辑, 南京国民政府. 第一编, 南京国民政府的建立与十年内战(1927.4-1937.7).  第2编, 政治, 军事, 财政经济 , 教育, 文化, 外交, 附录. 第3编, 蒋介石发动全面内战与南京国民政府的覆灭,  財政經濟, 敎育, 军事, 外交, 文化"
153,Aviation safety through the rule of law : ICAO's mechanisms and practices
154,侨务法规
155,民國史料叢刊
156,中华民国外交史 (1911年-1921年)
157,中华民国外交史新著 = Diplomatic History of the Republic of China : A New Perspective
158,Dialogues with Chin Peng : new light on the Malayan Communist Party
159,Hope without optimism
160,At home with computers
161,Madness and civilization : a history of insanity in the Age of Reason
162,"The inflationary spiral ; the experience in China, 1939-1950."
163,去大后方 : 中国抗战内迁实录
164,"Icons and institutions : essays on the history of the University of the Philippines, 1952-2000"
165,Patterns of time in hospital life : a sociological perspective
166,The origins of metropolitan Manila : a political and social analysis
167,The age of trade : Manila galleons and the dawn of the global economy
168,The consumer society reader
169,"Quantitative methods for business, management & finance"
170,The vehicle routing problem
171,"Invented Eden : the elusive, disputed history of the Tasaday"
172,Changing cities : urban sociology
173,Philippine radical papers in the University of the Philippines Diliman Main Library : a subject guide
174,The business guide to sustainability : practical strategies and tools for organizations
175,Political consumerism : global responsibility in action
176,Consumption norms and everyday ethics
177,Journal of a solitude
178,Early mapping of Southeast Asia
179,The forgotten Japanese : encounters with rural life and folklore
180,"The early Chinese newspapers of Singapore, 1881-1912"
181,The manners and customs of the Chinese of the Straits Settlements.-
182,Discovery of the Tasaday : a photo novel : the Stone Age meets the space Age in the Philippine rain forest
183,Tadhana : the history of the Filipino people . Vol. 2 . The formation of the National community (1565-1896) . Pt. 1 . Encounter (1565-1663).
184,The gentle Tasaday : a Stone Age people in the Philippine rain forest
185,Frequency and the emergence of linguistic structure
186,Tantric and Taoist studies in honour of R.A. Stein
187,Thomas Munro : the origins of the colonial state and his vision of empire
188,The Tasaday controversy : assessing the evidence
189,Vita : life in a zone of social abandonment
190,Visions of Ryukyu : identity and ideology in early-modern thought and politics
191,Marcos and martial law in the Philippines
192,"Cities and nationhood : American imperialism and urban design in the Philippines, 1898-1916"
193,"Maritime Ryukyu, 1050-1650"
194,"Urban conservation in the Philippines, the Intramuros Project, Manila : an evaluation, 1980-1991"
195,Before European hegemony : the world system A.D. 1250-1350
196,Grammaticalization : a conceptual framework
197,The genesis of grammar : a reconstruction
198,The criminal process
199,The binding tie : Chinese intergenerational relations in modern Singapore
200,A sociolinguistic history of early identities in Singapore : from colonialism to nationalism
201,Languages in contact
202,"Finding the force of the Star wars franchise : fans, merchandise, & critics"
203,The getting of wisdom
204,Chinese pidgin English : texts and contexts
205,中国和东印度群岛旅行记
206,Traveling nation-makers : transnational flows and movements in the making of modern Southeast Asia
207,Global cities : a short history
208,Metaphor
209,Pragmatic markers in English : grammaticalization and discourse functions
210,Regularity in semantic change
211,The Art of Greece and Rome
212,Being human in a consumer society
213,The first and second discourses
214,早期新加坡华文报章与华人社会(1881-1912) = The early Chinese newspapers of Singapore
215,"Race and British colonialism in Southeast Asia, 1770-1870 : John Crawfurd and the politics of equality"
216,Maritime India
217,荒谬集
218,“的”的性质与功能 = The properties and fuctions of De
219,Confluence
220,Tadao Ando : conversations with students
221,Tadao Ando
222,"Tadao Ando, *1941 : the geometry of human space"
223,Tadao Ando
224,"Theatre, performance, and the historical avant-garde"
225,Theatre of the real
226,The European avant-garde : 1900-1940
227,A history of the theatre laboratory.
228,A turn to empire : the rise of imperial liberalism in Britain and France
229,Liberalism and empire : a study in nineteenth-century British liberal thought
230,Chinese export watercolours
231,"Colonizing nature : the tropics in British arts and letters, 1760-1820"
232,John Reeves : pioneering collector of Chinese plants and botanical art
233,"The decorative arts of the China trade : paintings, furnishings, and exotic curiosities"
234,Would you kill the fat man? : the trolley problem and what your answer tells us about right and wrong
235,Against democracy
236,The unbearable lightness of being
237,Napoleon and Wellington : the Battle of Waterloo and the great commanders who fought it
238,"Jinnealogy : time, Islam, and ecological thought in the medieval ruins of Delhi"
239,Chinese art : a guide to motifs and visual imagery
240,品味生活的感动
241,转个弯儿 : 尤今作品选 (小品)
242,体会世事的缤纷
243,昙花的哲学 : 尤今作品选 (小品)
244,刀子会说话 : 袖珍小品
245,老虎的哲学
246,"Comprehensive Malay dictionary : English-Malay, Malay-English."
247,閩南語教學
248,Guide to the sources of history in Singapore
249,新加坡华语语法变异研究 = A Study of grammatical variation in Singapore Mandarin
250,Devescovinid flagellates of termites.
251,Collins easy learning English-Malay dictionary = kamus dwibahasa Bahasa Malaysia-Inggeris
252,A company of birds
253,Nature and life in Southeast Asia.
254,Malay grammar made easy : a comprehensive guide
255,Cambodia captured : Angkor's first photographers in 1860's colonial intrigues
256,"Sketches in the Straits : nineteenth-century watercolours and manuscript of Singapore, Malacca, Penang and Batavia by Charles Dyce"
257,新加坡閩南話詞典 = Xinjiapo Minnanhua cidian
258,A vision of Eden : the life and work of Marianne North
259,A student's grammar of Malay & Indonesian
260,新加坡闽南话槪况
261,Pitcher plants of Peninsular Malaysia & Singapore
262,How democracies die
263,"The dangerous world of butterflies : the startling subculture of criminals, collectors, and conservationists"
264,Fifty key anthropologists
265,"Zoologische Jahrbucher . Abteilung fur Systematik, Okologie und Geographie der Tiere."
266,The culture of flowers
267,A journey through Singapore : travellers' impressions of a by-gone time selected and arranged in a complete narrative
268,Travellers' Singapore : an anthology
269,The matter of history : how things create the past
270,Butterflies of the Oriental region
271,Humanism in the renaissance of Islam : the cultural revival during the Buyid Age
272,The art of Badiʻ az-Zaman al-Hamadhani as picaresque narrative
273,Singer's repertoire.
274,"The health of nations : infectious disease, environmental change, and their effects on national security and development"
275,Lucky girls
276,The book of salt
277,Dragonfish : a novel
278,The tapestries : a novel
279,Writing labour : stone quarry workers in Delhi
280,"Describing early America : Bartram, Jefferson, Cr¹evecoeur, and the rhetoric of natural history"
281,Case in point : complete case interview preparation
282,Protestant empire : religion and the making of the british atlantic world.
283,Thomas' calculus
284,"Fundamentals of momentum, heat, and mass transfer"
285,Contract administration guide to the SIA conditions of building contract
286,Taming Tibet : landscape transformation and the gift of Chinese development
287,"Globalization and the environment : capitalism, ecology & power"
288,"Globalisation, environment and social justice : perspectives, issues and concerns"
289,Teaching music appreciation through listening skill training.
290,A guide to research in music education
291,Music and education : a composer writers about musical education
292,MENC handbook of research methodologies
293,Design and analysis of experiments
294,Bills of lading : law and contracts
295,A philosophy of evidence law : justice in the search for truth
296,Teaching and assessing intercultural communicative competence
297,Using communication theory : an introduction to planned communication
298,Concerto in A minor [music]
299,Fixed income analysis workbook
300,Fixed income mathematics : analytical & statistical techniques
301,Third wave feminism : a critical exploration
302,Homo sacer : sovereign power and bare life
303,Beware of pity
304,Kafka : the decisive years
305,"Kafka, the years of insight"
306,The scarlet gang of Asakusa
307,Yukio Mishima
308,"Small places, large issues : an introduction to social and cultural anthropology"
309,Moonlight [videorecording]
310,Modern rules of style : write like a professional
311,The Bluebook uncovered : a practical guide to mastering legal citation : (twentieth edition of the Bluebook)
312,The Maritime Labour Convention 2006 : international labour law redefined
313,Character in the criminal trial
314,Similar fact evidence : probative value and prejudice
315,The law of guarantee
316,Guarantees and performance bonds
317,"Ah ku and Karayuki-san : prostitution in Singapore, 1870-1940"
318,"Kampong spirit - gotong royong : life in Potong Pasir, 1955 to 1965"
319,The Bugis
320,Intertidal history in island Southeast Asia : submerged genealogy and the legacy of coastal capture
321,Revolutionary commerce : globalization and the French monarchy
322,Letters of sincerity : the Raffles collection of Malay letters (1780-1824) : a descriptive account with notes and translation
323,French East India companies : a historical account and record of trade
324,"The politics of trade, Anglo-French commerce on the Coromandel Coast, 1763-1793"
325,"The Vietnamese response to French intervention, 1862-1874"
326,"Weaving women's spheres in Vietnam : the agency of women in family, religion and community"
327,The crime of aggression under the Rome Statute of the International Criminal Court
328,An introduction to the International Criminal Court
329,Etüden [music] : Flöte(n) solo (1974)
330,"Ireland and India : colonies, culture and empire"
331,"Ireland, India and empire : Indo-Irish radical connections, 1919-64"
332,Reading and writing Thai / ʻān læ khīan phāsā Thai / Somsong Burusaphat.
333,Living at the edge of Thai society : the Karen in the highlands of northern Thailand
334,Mien relations : mountain people and state control in Thailand
335,Evidence and the litigation process
336,The law of evidence in Singapore
337,The flute book : a complete guide for students and performers
338,Magnetoelectronics
339,"Liberal internationalism : theory, history, practice"
340,"Kant and liberal internationalism : sovereignty, justice, and global reform"
341,Justifying America's wars : the conduct and practice of US military intervention
342,The national security doctrines of the American presidency : how they shape our present and future
343,Networks : a very short introduction
344,Computer science : a very short introduction
345,Big data : a very short introduction
346,Reading : a very short introduction
347,"Ah Q archaeology : Lu Xun, Ah Q, Ah Q progeny and the national character discourse in twentieth century China"
348,"Unfree verse : Singapore poetry in form, 1937-2015"
349,Corridor : 12 short stories
350,The water cure
351,The poems of Dylan Thomas
352,Participation without democracy : containing conflict in Southeast Asia
353,Tokyo in transit : Japanese culture on the rails and road
354,Blades of grass : the stories of Lao She
355,"Selling women : prostitution, markets, and the household in early modern Japan"
356,"The human face of global mobility : international highly skilled migration in Europe, North America and the Asia-Pacific"
357,The ark and beyond : the evolution of zoo and aquarium conservation
358,The Blackwell city reader
359,"Singapore, the energy economy : from the first refinery to the end of cheap oil, 1960-2010"
360,Doing global urban research
361,Subculture to clubcultures : an introduction to popular cultural studies
362,Airport urbanism : infrastructure and mobility in Asia
363,Posthuman urbanism : mapping bodies in contemporary city space
364,Unpopular cultures : the birth of law and popular culture
365,Global cities and urban theory
366,The clubcultures reader : readings in popular cultural studies
367,Social research methods
368,Qualitative research methods
369,"A brief history of Indonesia : sultans, spices, and tsunamis : the incredible story of Southeast Asia's largest nation"
370,"The Indonesia reader : history, culture, politics"
371,Contentious politics
372,A history of modern Indonesia
373,Real research : research methods sociology students can use
374,The politics of dams : developmental perspectives and social critique in modern India
375,The Sage handbook of new urban studies
376,Building for oil : Daqing and the formation of the Chinese socialist state
377,"Inventory of monuments at Pagan = Pagan, inventaire des monuments"
378,The discoverers
379,A world history
380,A history of time
381,History : a very short introduction
382,Writing and script : a very short introduction
383,World-systems analysis : an introduction
384,"Public policy : politics, analysis, and alternatives"
385,Mighty Minds Singapore street directory [cartographic material].
386,Secret conversations with trading tycoons : uncovering timeless wisdom from the world's greatest financial minds
387,"Speculation, trading, and bubbles"
388,Anti-nuclear protest in post-Fukushima : power struggles
389,Networks and mobilization processes : the case of the Japanese anti-nuclear movement after Fukushima
390,Earth moves : the furnishing of territories
391,Report
392,The investigation and prosecution of criminal offences in England and Wales : the law and procedure : presented to Parliament by command of Her Majesty
393,Allegories of time and space : Japanese identity in photography and architecture
394,Constructed land : Singapore 1924-2012.
395,The charm of compound houses
396,Diplomatic interference and the law
397,The harmony of terraces
398,Stats : data and models
399,Corporate law
400,Japan's great stagnation and abenomics : lessons for the world
401,The physiology of the employee
402,Multiple regression : a primer
403,Q.E.D. : beauty in mathematical proof
404,"Mental maps in the early cold war era, 1945-68"
405,Why we can't afford the rich
406,"The chosen : the hidden history of admission and exclusion at Harvard, Yale, and Princeton / Jerome Karabel."
407,要約文の表現類型 : 日本語教育と国語教育のために
408,Nineteenth-century Britain : a very short introduction
409,Privilege : the making of an adolescent elite at St. Paul's School
410,Stigma ; notes on the management of spoiled identity.
411,"Dialogues with S. Rajaratnam, former Senior Minister in the Prime Minister's Office"
412,The Merlion and the Ashoka : Singapore-India strategic ties
413,Private passion : the photographs of pioneer politican and diplomat S. Rajaratnam
414,Class work : mothers' involvement in their children's primary schooling
415,Curing their ills : colonial power and African illness
416,Translating wisdom : Hindu-Muslim intellectual interactions in early modern South Asia
417,"Man, the state, and war : a theoretical analysis."
418,Ethnicity in Asia
419,Reading Hume on human understanding : essays on the first Enquiry
420,Statistical inference
421,Design and analysis of experiments
422,"Security, territory, population : lectures at the Collège de France, 1977-1978"
423,The Routledge companion to transmedia studies
424,Habitus : a sense of place
425,An introduction to the theory of point processes
426,Bioseparations : downstream processing for biotechnology
427,Core competencies for healthcare ethics consultation : the report of the American Society for Bioethics and Humanities.
428,Neural networks : a comprehensive foundation
429,Media talk : spoken discourse on TV and radio
430,The great Gatsby
431,Legal traditions of the world : sustainable diversity in law
432,My own words
433,Strategic pragmatism : the culture of Singapore's Economic Development Board
434,Financialization at work : key texts and commentary
435,"Ancient Chinese thought, modern Chinese power"
436,China's global identity : considering the responsibilities of great power
437,Basic biostatistics : statistics for public health practice
438,Health and numbers : a problems-based introduction to biostatistics
439,Screening : evidence and practice
440,Essentials of biostatistics in public health
441,Birds' modern insurance law
442,"Museums and the making of ""ourselves"" : the role of objects in national identity"
443,K'ung-tzu or Confucius? : the Jesuit interpretation of Confucianism
444,A history of Christianity in Japan.
445,A Jesuit in the Forbidden City : Matteo Ricci 1552-1610
446,"International investment, political risk, and growth"
447,Country analysis : understanding economic and political performance
448,Investing without borders : how 6 billion investors can find profits in the global economy
449,Global investments
450,Prediction machines : the simple economics of artificial intelligence
451,International project finance : law and practice
452,Inside/out : new Chinese art
453,The great Partition : the making of India and Pakistan
454,Our Indian Railway : themes in India's Railway history
455,Midnight's furies : the deadly legacy of India's partition
456,Anthropologies and futures : researching emerging and uncertain worlds
457,"Environmental change and the world's futures : ecologies, ontologies and mythologies"
458,Time and the other : how anthropology makes its object
459,The intimacies of four continents
460,Algebraic groups and number theory
461,"America's Gilded Age : intimate portraits from an era of extravagance and change, 1850-1890"
462,International project finance  : law and practice
463,Servants of the dynasty : palace women in world history
464,Comfort women : sexual slavery in the Japanese military during World War II
465,Guns of February : ordinary Japanese soldiers' view of the Malayan Campaign and the fall of Singapore 1941-42
466,Contested memoryscapes : the politics of Second World War commemoration in Singapore
467,The comfort women : Japan's brutal regime of enforced prostitution in the Second World War
468,Chinese comfort women : testimonies from imperial Japan's sex slaves
469,"The comfort women : historical, political, legal and moral perspectives"
470,The comfort women : sexual violence and postcolonial memory in Korea and Japan
471,World War II Singapore : the Chōsabu reports on Syonan
472,Fall of Singapore : the undefeatable British Fortress Conquered
473,Oral history in Southeast Asia : memories and fragments
474,Public housing design handbook
475,Public housing in Singapore 1947-70 (the work of the SIT and the HDB).
476,Sidewalks : conflict and negotiation over public space
477,Evolution of a retail streetscape : DP Architects on Orchard Road
478,Computer networking : a top-down approach
479,How brands grow : what marketers don't know
480,A new sun rises over the old land : a novel of Sihanouk's Cambodia
481,The political economy of population ageing
482,Construction technology for tall buildings
483,Of whales and dinosaurs : the story of Singapore Natural History Museum
484,International tourism : a global perspective
485,"Resort development and management : for operators, developers, and investors"
486,Jack : documentary credits : the law and practice of documentary credits including standby credits and demand guarantees
487,"The Chinese Consul-Generals' activities in Singapore, 1930-1941"
488,Contractual procedures in the construction industry
489,Understanding JCT standard building contracts
490,"Religion, society, trade and kingship : archaeology and art in South Asia and along the silk route, 5500 BCE-5th century CE"
491,"Oceans odyssey 4 : pottery from the Tortugas shipwreck, Straits of Florida : a merchant vessel from Spain's 1622 Tierra Firme Fleet"
492,"Bulletin de l'Ecole française d'Extrême-Orient. Tome 105, 2019."
493,Essentials of negotiation
494,Good enough for government work : the public reputation crisis in America (and what we can do to fix it)
495,Respiratory system
496,The respiratory system at a glance
497,Negotiation genius : how to overcome obstacles and achieve brilliant results at the bargaining table and beyond
498,"Getting (more of) what you want : how the secrets of economics & psychology can help you negotiate anything, in business & life"
499,"Born to run : a hidden tribe, superathletes, and the greatest race the world has never seen"
500,Subito [music] : for violin and piano (1992)
501,Legal traditions of the world : sustainable diversity in law
502,Experimentation : an introduction to measurement theory and experiment design
503,Renal function : mechanisms preserving fluid and solute balance in health
504,Plays in English
505,郭宝崑全集
506,Two plays by Kuo Pao Kun : Descendants of the eunuch admiral and The spirits play
507,世界漢語教育史研究 : 第一屆世界漢語教育史國際學術研討會論文集
508,Index to hing tai chou pan i wu shih mo
509,南天馀墨
510,嶺外代答校注
511,古代南海地名汇释
512,Life is not complete without shopping : consumption culture in Singapore
513,Comfort woman : a Filipina's story of prostitution and slavery under the Japanese military
514,Let's speak Indonesian : ayo Berbahasa Indonesia
515,International trade : economic analysis of globalization and policy
516,Rethinking the 1898 reform period : political and cultural change in late Qing China
517,"The great encounter of China and the West, 1500-1800"
518,Air-conditioned nation revisited : essays on Singapore politics
519,Is the People's Action Party here to stay? : analysing the resilience of the one-party dominant state in Singapore
520,Letters to a law student : [a guide to studying law at university]
521,Intimate outsiders : the harem in Ottoman and Orientalist art and travel literature
522,Publication manual of the American Psychological Association.
523,Community practice : theories and skills for social workers
524,Family therapy : a systemic integration
525,Social work and community development : a critical practice perspective
526,Family therapy : concepts and methods
527,Phnom Penh : a cultural and literary history
528,"Cases, problems, and materials on bankruptcy"
529,Admiralty law and practice
530,Bankruptcy and corporate reorganization : legal and financial materials
531,British national formulary.
532,"Concerto in C major, Hob. VII[b], n. 1, for cello and piano [music]"
533,Principles of marketing : an Asian perspective
534,"Unsettling partition : literature, gender, memory"
535,"Revisiting India's partition : new essays on memory, culture, and politics"
536,Religion as social capital : producing the common good
537,American grace : how religion divides and unites us
538,Method for double bass [music] : [selections]
539,86 etudes [music] : for string bass
540,Das Skalensystem [music] : Tonleiterübungen durch alle Dur- und Moll- Tonarten für das tägliche Studien = Scale system : scale exercises in all major and minor keys for daily study
541,"66 Etuden [music] : in allen Dur und Moll-Tonarten für tiefe Instrumente : Kontrabass, Posauen, Fagott"
542,China and the brave new world : a study of the origins of the Opium War (1840-42)
543,Commissioner Lin and the Opium War.
544,The Chinese Opium Wars
545,"Opium, soldiers and evangelicals : Britain's 1840-42 war with China, and its aftermath"
546,"China upside down : currency, society, and ideologies, 1808-1856"
547,Foreign mud : a history of the illegal opium trade and the resulting Anglo-Chinese war
548,"The lion and the dragon : Britain's opium wars with China, 1839-1860"
549,Concerto in D minor for flute and piano [music]
550,Sonate a-moll für Querflöte solo [music] = Sonata in A minor for flute solo = Sonate en la mineur pour flûte traversière seule : WQ 132
551,"Partita a-moll, Flöte solo, BWV 1013 = Partita in a [i.e.A] minor, flute solo, BWV 1013"
552,Bill Gates speaks : wisdom from the world's greatest entrepreneur
553,Digital integrated circuits : a design perspective
554,Chemical reaction engineering.
555,"Symphony no. 5 [music] : D minor=d-Moll=Re mineur, op. 47"
556,Introduction to fluid mechanics
557,Reflections : the legacy of Lee Kuan Yew
558,Conversations with Lee Kuan Yew : citizen Singapore : how to build a nation
559,The social structures of the economy
560,Queenstown planning area planning report 1994
561,Grounded theory : a practical guide
562,Lee Kuan Yew's educational legacy : the challenges of success
563,"The Malayan emergency : a small, distant war"
564,Home : a place in the world
565,"The Oxford handbook of law, regulation and technology"
566,Theater and the politics of culture in contemporary Singapore
567,"The sound of memories : recordings from the Oral History Centre, Singapore"
568,Thinking small : the United States and the lure of community development
569,"Transforming the law : essays on technology, justice, and the legal marketplace"
570,Giddens' theory of structuration : a critical appreciation
571,Mantai : city by the sea
572,Hidden rhythms : schedules and calendars in social life
573,Devising theatre : a practical and theoretical handbook
574,Anti-Oedipus : capitalism and schizophrenia
575,Reabilitat︠s︡ii︠a︡--kak ėto bylo : dokumenty Prezidiuma T︠S︡K KPSS i drugie materialy
576,DSM-5 handbook of differential diagnosis
577,Lee Kuan Yew : blazing the freedom trail
578,Active learning : creating excitement in the classroom
579,DSM-5 : clinical cases
580,Radical uncertainty : decision-making beyond the numbers
581,"Indonesian communism under Sukarno ; ideology and politics, 1959-1965"
582,"Access to information, technology, and justice : a critical intersection"
583,Bangsa Melayu : konsep bangsa Melayu dalam demokrasi dan komuniti 1945–1950
584,Automating legal services : justice through technology
585,In Gandhi's footsteps : the life and times of Jamnalal Bajaj
586,The reform decade : corporate and commercial law in India
587,Postcolonial lesbian identities in Singapore : re-thinking global sexualities
588,"Shanghai modern : the flowering of a new urban culture in China, 1930-1945"
589,The life of music in north India : the organization of an artistic tradition
590,Growing up with the nation
591,Cyberspace law : cases and materials
592,India's revolution; Gandhi and the Quit India movement
593,The primacy of drawing : histories and theories of practice
594,中国学案史
595,民国华侨名人传略
596,马来西亚华人人物志
597,The cardiovascular system at a glance
598,Ganong's review of medical physiology
599,Clinical electrocardiography
600,The only EKG book you'll ever need
601,Making sense of the ECG : a hands-on guide
602,12-lead ECG : the art of interpretation
603,Surface anatomy : the anatomical basis of clinical examination
604,Clinical anatomy : applied anatomy for students and junior doctors
605,Art in China
606,Assessment of mental capacity : a practical guide for doctors and lawyers
607,Antarctica and international law : a collection of inter-state and national documents
608,The Hobbit and the lord of the rings
609,Revolutionary time : on time and difference in Kristeva and Irigaray
610,"Why we eat, how we eat : contemporary encounters between foods and bodies"
611,Collapse : how societies choose to fail or succeed
612,Raphael
613,The life of Raphael
614,Time series analysis
615,"Christianity in Singapore : Roman Catholic, Protestant, Christian denomination, founding of modern Singapore, Mission(Station), Roman Catholicism in Singapore"
616,Going forth : the Catholic Church in Singapore 1819-2004
617,Games of strategy
618,邊疆中國 : 二十世紀周邊曁民族関係史述 = Frontier China : 20th-century peripheral and interethnic relations
619,Urban catalyst : the power of temporary use
620,The temporary city
621,The Criminal law review.
622,"Franck's Sonata in A; and, Fauré's Sonata no. 1 for violin and piano [music]"
623,"Sonate für Violine und Klavier Nr. 2, A-dur [music]= Sonata for violin and piano no. 2, A major : op. 100"
624,Sonatas for violin and piano [music] = für Violine und Klavier
625,Liberalism and empire : India in British liberal thought
626,"Britain's imperial muse : the classics and Britain's Indian empire, 1784-1914"
627,Colonialism as civilizing mission : cultural ideology in British India
628,Liberalism and the British empire in Southeast Asia
629,The lake of the bees
